"nama","kode_rs","tempat_tidur","telepon","lokasi.lat","lokasi.lon","alamat","tipe","wilayah"
"RS UMUM AVICENNA","1223004",  52,"(0624) 7672018",  2.50559900, 99.63243300,"JL LINTAS SUMATERA, SIMPANG SIRANGGONG, DAMULI PEKAN","","BATU BARA, SUMATERA UTARA"
"RS KHUSUS MATA REGINA EYE CENTER","1371459",  24,"(0751) 810456", -0.94768826,100.36503358,"JL. H. AGUS SALIM NO. 11A PADANG","","PADANG PARIAMAN, SUMATERA BARAT"
"RS TNI AU LANUD SAM RATULANGI","7171097",  34,"",  1.53569500,124.92199900,"PANIKI BAWAH, KEC. MAPANGET, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA"
"RS GIGI DAN MULUT MARANATHA","3204124",   7,"(022) 2005934", -6.88682100,107.58098400,"JL. PROF. DRG. SURIA SUMANTRI, MPH. NO.65 BANDUNG","","BANDUNG, JAWA BARAT"
"RS IBU DAN ANAK MUTIARA PUTRI","1871440",  29,"(0721) 254999", -5.42267100,105.26247900,"JALAN HOS COKROAMINOTO NO.96, TANJUNG KARANG, ENGGAL, ENGAL, KOTA BANDAR LAMPUNG, LAMPUNG 35213","","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS UMUM  AGUNG","1409012",  10,"(0765) 7040095",  1.67190600,101.44737900,"JL SUDIRMAN, KM 08, BAGAN BATU, BINTAN, DUMAI KOTA, KOTA DUMAI, RIAU 28826","","ROKAN HILIR, RIAU"
"RS IBU DAN ANAK AZ-ZAHRA PALEMBANG","1671340",  20,"(0711) 822723", -2.94224700,104.78419900,"JL.BRIGJEND HASAN KASIM NO. 1-2 KEL. BUKIT SANGKAL KEC. KALIDONI PALEMBANG","","KOTA PALEMBANG, SUMATERA SELATAN"
"RS KHUSUS GIGI DAN MULUT KOTA BANDUNG","3273540",   4,"(022) 4234058", -6.90608100,107.61415400,"JL. L. L. R.E. MARTADINATA NO.45, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115","","KOTA BANDUNG, JAWA BARAT"
"RS UMUM FAJAR","1275900",   0,"(061) 7853738",  3.54853500, 98.66959200,"JL. CEMPAKA NO.35, SARI REJO, KEC. MEDAN POLONIA, KOTA MEDAN, SUMATERA UTARA 20158","","KOTA MEDAN, SUMATERA UTARA"
"RS KHUSUS BEDAH RING ROAD SELATAN","3402076",  22,"(0274) 376115", -7.83407100,110.36039900,"GLUGO PANGGUNGHARJO SEWON BANTUL YOGYAKARTA","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
"RS BERSALIN ASIH","1872065",  26,"(0725) 49200", -5.11823000,105.31354700,"JL AHMAD YANI NO 52","","KOTA METRO, LAMPUNG"
"RS IBU DAN ANAK IBUNDA","6301016",  24,"0853 4948 370", -3.81382800,114.78515800,"JL. A.SYAIRANI RT 04 RW 2 KELURAHAN SARANG HALANG KECAMATAN PELAIHARI KABUPATEN TANAH LAUT","","TANAH LAUT, KALIMANTAN SELATAN"
"RS IBU DAN ANAK MAWAR","1804013",  33,"0823-8065-1111", -5.14197000,105.70241700,"JALAN LINTAS TIMUR PLANGKAWATI 1, DESA LABUHAN RATU VII KEC. LABUHAN RATU KAB. LAMPUNG TIMUR","","LAMPUNG TIMUR, LAMPUNG"
"RS PRATAMA DR. ABDUL CHALIK MASULILI","7202016",  25,"", -0.78497100,122.63519700,"JL. TRANS SULAWESI, TONGKONUNUK, PAGIMANA, KABUPATEN BANGGAI, SULAWESI TENGAH 94752","","BANGGAI, SULAWESI TENGAH"
"RS UMUM PERMATA HUSADA","3402075",  14,"(0274) 441313", -7.86553200,110.40929100,"JL PLERET-KOTAGEDE KM. 4  KAUMAN PLERET BANTUL YOGYAKARTA 55791","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
"RS KHUSUS BEDAH MITRA ARIVA","3302225",  25,"(0281) 571328", -7.40827000,109.08336100,"JL. RAYA AJIBARANG NO.TIMUR, MUNGGANGSARI KIDUL, LESMANA, KEC. AJIBARANG, KABUPATEN BANYUMAS, JAWA TENGAH 53163","","BANYUMAS, JAWA TENGAH"
"RS UMUM INANTA","1277026",  66,"(0634) 21451",  1.38123000, 99.27520200,"JL. SISINGAMANGARAJA NO.85-87, SITAMIANG, PADANGSIDIMPUAN SEL., KOTA PADANG SIDEMPUAN, SUMATERA UTARA 22711","","KOTA PADANG SIDIMPUAN, SUMATERA UTARA"
"RS UMUM DAERAH MITRA SEHAT","7109002",  20,"085299387669",  1.02603400,124.76005500,"JL. RAYA RATAHAN - LIWUTUNG, DESA TOWUNTU TIMUR, KECAMATAN PASAN KABUPATEN MINAHASA TENGGARA","","MINAHASA TENGGARA, SULAWESI UTARA"
"RS IBU DAN ANAK RESTU IBU","1371465",  23,"(0751) 810756", -0.94986201,100.36701077,"JALAN TERANDAM NOMOR 5-7 PADANG","","PADANG PARIAMAN, SUMATERA BARAT"
"RS IBU DAN ANAK FAUZIAH TULUNGAGUNG","3504057",  41,"(0355) 322135", -8.06987800,111.89501600,"JL. DR. SUTOMO NO.47, TERTEK, KEC. TULUNGAGUNG, KABUPATEN TULUNGAGUNG, JAWA TIMUR 66216","","TULUNGAGUNG, JAWA TIMUR"
"RS IBU DAN ANAK KASIH IBU SULUT","7171098",   0,"(0431) 834780",  1.46168200,124.82275400,"KOMPLEKS BAHU MALL, JL. WOLTER MONGINSIDI NO.1, KEC. MALALAYANG, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA"
"RS BANTUAN 05.08.03 SIDOARJO","3515135",  51,"(031) 8964610", -7.44468600,112.71660900,"JL DR SOETOMO NO 2 SIDOARJO","","SIDOARJO, JAWA TIMUR"
"RS ISLAM AROFAH","3516033",  60,"(0321) 596900", -7.40516700,112.54769400,"JL. GAJAH MADA NO.1, RANDU BANGO, RANDUBANGO, KEC. MOJOSARI, MOJOKERTO, JAWA TIMUR 61382","","MOJOKERTO, JAWA TIMUR"
"RS UMUM  REGITA MEDIKA","1409016",  21,"0853-6469-7777",  1.62397500,101.03779600,"JL LINTAS SUMATERA RT.019/RW.007 KEPENGHULUAN UJUNG TANJUNG KECAMATAN TANAH PUTIH KABUPATEN ROKAN HI","","ROKAN HILIR, RIAU"
"RS KHUSUS MATA PROVINSI SUMATERA UTARA","1275922",  25,"(061) 80031789",  3.62245036, 98.66018563,"JALAN KAPTEN SUMARSONO NO 01 KELURAHAN HELVETIA TIMUR KECAMATAN MEDAN HELVETIA","","KOTA MEDAN, SUMATERA UTARA"
"RS IBU DAN ANAK MINA HUSADA","1211127",  34,"0823-6610-2810",  3.09654487, 98.49042325,"JL. KAPTEN PALA BANGUN NO. 8 PADANG MAS - SENTRUM KABANJAHE 22115","","KARO, SUMATERA UTARA"
"RS FITRI CANDRA","3312307",  56,"(0273) 5328899", -7.79304700,110.90761800,"JL. BRIGJEND KATAMSO, PANCURAN, KALIANCAR, KEC. SELOGIRI, KABUPATEN WONOGIRI, JAWA TENGAH 57652","","WONOGIRI, JAWA TENGAH"
"RUMAH SAKIT KELAS D PRATAMA PASAMAN","1309024",  55,"",  0.46697500,100.03920900,"JL. LINTAS SUMATERA KM. 8 JGR. SELAMAT UTARA, NAGARI SITOMBO, PDG. GELUGUR","","PASAMAN, SUMATERA BARAT"
"RS IBU DAN ANAK BUNDA ASY SYIFA","1871446",  28,"(0721) 259259", -5.42984500,105.27100900,"JL. DR.SUSILO NO.54 PAHOMAN BANDAR LAMPUNG","","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS IBU DAN ANAK TRESNA","5271102",  24,"(0370) 637965", -8.59188300,116.11376400,"JL. BUNG KARNO NO. 28 MATARAM","","KOTA MATARAM, NUSA TENGGARA BARAT"
"RSU DAERAH GEMA SANTI NUSA PENIDA","5105016",  43,"(0366) 5551048", -8.67670500,115.49492400,"BANJAR NYUH, DESA PED, KECAMATAN NUSA PENIDA","","KLUNGKUNG, BALI"
"RS IBU DAN ANAK ANANDA TRIFA","7372077",  20,"0853-9903-8722", -4.01565600,119.62435700,"JL. H. AGUSSALIM NO. 218 PAREPARE","","KOTA PARE PARE, SULAWESI SELATAN"
"RS HARAPAN SEHAT PEMALANG","3327048",  98,"", -6.88733800,109.38045500,"JL. RE MARTADINATA","","PEMALANG, JAWA TENGAH"
"RS IBU DAN ANAK ANANDA PASAR ACE","3374369",  23,"(024) 76672123", -7.06877450,110.31413610,"JL.PENDOWO NO 77 BANDUNGSARI TAMBANGAN MIJEN SEMARANG","","SEMARANG, JAWA TENGAH"
"RS UMUM ENGGAL WARAS","3315058",  32,"(0292) 659294 EXT. 4280194", -7.04053339,110.77225833,"JL.KARANGRAYUNG KM. 3 DS. KEMLOKO KEC. GODONG GROBOGAN","","GROBOGAN, JAWA TENGAH"
"RS UMUM MELOY SANGATTA","6404043",  86,"(0549) 24222",  0.50510100,117.53483700,"JL. YOS SUDARSO 2 NO.101, SANGATTA UTARA, KABUPATEN KUTAI TIMUR, KALIMANTAN TIMUR 75683","","KUTAI TIMUR, KALIMANTAN TIMUR"
"RS PERMATA BUNDA","7171072",  77,"(0431) 842055",  1.48216300,124.85669800,"JL. PINGKAN MATINDAS, DENDENGAN DALAM, PAAL DUA, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA"
"RSU CAHAYA MEDIKA MAKASSAR","7371425",  43,"0411586584", -5.14172100,119.47735700,"JL. PERINTIS KEMERDEKAAN KM.8 NO.26/27","","KOTA MAKASSAR, SULAWESI SELATAN"
"RS KHUSUS MATA JAKARTA EYE CENTER KEDOYA","3174515",  17,"0804 122 1000", -6.18960600,106.76144500,"JALAN TERUSAN JL. ARJUNA UTARA NO.1, RT.7/RW.3, KEDOYA SEL., KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11520","","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM PATRIA IKKT","3174416",  68,"(021) 5308981", -6.19706700,106.79268100,"JL. CENDRAWASIH NO.1 KOMPLEK KEMHAN MABES TNI SLIPI","","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM MEDIKA PERMATA HIJAU","3174420",  64,"(021) 5347411", -6.21811000,106.77816600,"JL. KEBAYORAN LAMA  NO.64 JAKARTA BARAT","","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM LIRBOYO","3571146",  47,"(0354) 778165", -7.81660200,111.98952400,"JL. DR.SAHARJO, CAMPUREJO, MOJOROTO, KOTA KEDIRI","","KEDIRI, JAWA TIMUR"
"RS UMUM CERIA","6306023",  48,"(0517) 23865", -2.80727004,115.25852305,"JL. JEND. SUDIRMAN NO. 10 HAMALAU KANDANGAN","","HULU SUNGAI SELATAN, KALIMANTAN SELATAN"
"RS IBU ANAK  BUDHI MULIA","1471395",  27,"0851-0006-9900",  0.47625360,101.41943740,"JL SOEKARNO HATTA NO 228 PEKANBARU","","KOTA PEKANBARU, RIAU"
"RS UMUM PURWA HUSADA","3306106",  23,"(0275) 321998", -7.72779700,109.96919400,"BENGKEK, CANDISARI, BANYUURIP, PURWOREJO REGENCY, CENTRAL JAVA 54171","","PURWOREJO, JAWA TENGAH"
"RSIA PONDOK TJANDRA","3515137",  22,"(031) 8664488", -7.34525500,112.77923200,"PERUMAHAN PONDOK TJANDRA, JL. MANGGA I NO.E-225, TAMBAKSUMUR, KEC. WARU, KABUPATEN SIDOARJO, JAWA TIMUR 61256","","SIDOARJO, JAWA TIMUR"
"RS UMUM RIDOS","1275892",  31,"(061) 7881406",  3.55602300, 98.71764500,"JL. MENTENG VII NO.62, MEDAN TENGGARA, KEC. MEDAN DENAI, KOTA MEDAN, SUMATERA UTARA 20228","","KOTA MEDAN, SUMATERA UTARA"
"RS UMUM DDELA MEDICAL","7315017",   0,"", -3.80966300,119.64617700,"BENTENGNGE, WATANG SAWITTO, KABUPATEN PINRANG, SULAWESI SELATAN 91221","","PINRANG, SULAWESI SELATAN"
"RS UMUM ISLAM BANYUBENING BOYOLALI","3309131",  60,"(0276) 320088", -7.51491300,110.71629000,"JL. RAYA WADUK CENGKLIK NO.DESA, CEPIT, NGARGOREJO, KEC. NGEMPLAK, KABUPATEN BOYOLALI, JAWA TENGAH 57375","","BOYOLALI, JAWA TENGAH"
"RS UMUM TAMAN HARAPAN BARU","3275053",  64,"(021) 88981055", -6.17657100,106.99877900,"JALAN RAYA KALIABANG TENGAH NO. 2, RT. 04. RW. 023 ,PEJUANG, MEDAN SATRIA, KALIABANG TENGAH, BEKASI UTARA, RT.004/RW.023, KALIABANG TENGAH, KEC. BEKASI UTARA, KOTA BKS, JAWA BARAT 17125","","BEKASI, JAWA BARAT"
"RS UMUM MOJOSONGO 2","3313056",  27,"(0271) 822152", -7.55559100,110.87435400,"JL. NUSA INDAH, RANDUREJO, NGRINGO, KEC. JATEN, KABUPATEN KARANGANYAR, JAWA TENGAH 57731","","KARANGANYAR, JAWA TENGAH"
"RS IBU DAN ANAK BUNDA","7371401",  18,"(0411) 424460", -5.15838500,119.44280800,"JL. PENGAYOMAN, MASALE, KEC. PANAKKUKANG, KOTA MAKASSAR, SULAWESI SELATAN 90231","","KOTA MAKASSAR, SULAWESI SELATAN"
"RS BERSALIN UMMI","3278015",  20,"(0265) 329126", -7.33340300,108.21474700,"JL. PASEH NO. 10 TUGURAJA CIHIDEUNG KOTA TASIKMALAYA","","TASIKMALAYA, JAWA BARAT"
"RS KHUSUS MATA SMEC","1275898",  16,"0804 122 7788",  3.58732900, 98.66155758,"JL ISKANDAR MUDA NO.278","","KOTA MEDAN, SUMATERA UTARA"
"RS UMUM JEUMPA HOSPITAL","1110104",  72,"0852-9815-3089",  5.20403700, 96.72005000,"JL. B.ACEH - MEDAN, KM 220 NO 102 DSN.TERATAI, DESA GEULANGGANG BARO, KECAMATAN KOTA JUANG","","BIREUEN, ACEH"
"RS IBU DAN ANAK  ANNISA","1471386",  20,"0852-6459-6519",  0.51483000,101.42900000,"JL GARUDA NO.66 KEL.TANGKERANG TENGAH KEC.MARPOYAN DAMAI","","KOTA PEKANBARU, RIAU"
"RS UMUM TK IV GUNTUR","3205021", 127,"(0262) 232325", -7.22250000,107.91100000,"JL. BRATAYUDA 101 GARUT","","GARUT, JAWA BARAT"
"RS KHUSUS GIGI DAN MULUT GUSTI HASAN AMAN","6371153",  12,"(0511) 6777515", -3.32194700,114.60186800,"JL. SIMPANG ULIN NO.28, SUNGAI BARU, KEC. BANJARMASIN TENGAH, KOTA BANJARMASIN, KALIMANTAN SELATAN 70122","","KOTA BANJARMASIN, KALIMANTAN SELATAN"
"RS PRATAMA ELVRIDA SARA","9229002",   2,"0812-4040-3389", -4.51995602,138.38787973,"ALIES YEMBISA, KENYAM NDUGA","","NDUGA, PAPUA"
"RS UMUM ANUGRAH PANGKAJENE","7314025",  48,"(0421) 96234", -3.92355600,119.79061400,"JL. LANTO DG. PASEWANG NO. 60 PANGKAJENE","","SIDENRENG RAPPANG, SULAWESI SELATAN"
"RS UMUM HADI HUSADA","1272033",  47,"(PERMANENTLY CLOSED)",  2.96295700, 99.80474000,"JL JEND. SUDIRMAN NO. 26 TANJUNGBALAI","","KOTA TANJUNG BALAI, SUMATERA UTARA"
"RS UMUM BUNDA NEGARA","5101054",  55,"(0365) 40251", -8.35435100,114.62633900,"JL. RAJAWALI NO. 36, KELURAHAN PENDEM, KECAMATAN JEMBRANA","","JEMBRANA, BALI"
"RS IBU DAN ANAK LOMBOK DUA DUA LONTAR","3578768",  25,"(031) 7526071", -7.28437600,112.66961000,"JL. LONTAR NO.109 SURABAYA","","KOTA SURABAYA, JAWA TIMUR"
"RS BERSALIN NABASA PONTIANAK","6171136",  29,"(0561) 582809", -0.07635000,109.35694900,"JL. SEI RAYA DALAM NO. 65 PONTIANAK","","KOTA PONTIANAK, KALIMANTAN BARAT"
"RS UMUM IBNU SINA","1108017",  45,"(0651) 8070469",  5.40997000, 95.44790000,"JL. BANDA ACEH-MEDAN KM 25,5 KECAMATAN INDRAPURI, KABUPATEN ACEH BESAR, PROVINSI ACEH.","","ACEH BESAR, ACEH"
"RS UMUM GRIYA MAHARDIKA YOGYAKARTA","3402077",  66,"", -7.83858600,110.36582700,"JL. PARANGTRITIS, KM. 4,5, GG. WIJAYA KUSUMA NO.212, DRUWO, BANGUNHARJO, KEC. SEWON, BANTUL, DAERAH ISTIMEWA YOGYAKARTA 55187","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA"
"RS GIGI DAN MULUT FKG UNIVERSITAS TRISAKTI","3174527",   3,"(021) 5655786", -6.16661568,106.79683291,"JL. KYAI TAPA NO 260 GROGOL JAKARTA BARAT","","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM ISLAM IBNU SINA","1371091", 116,"(0751) 7054318", -0.92097300,100.36712700,"JL. GAJAH MADA, GN. PANGILUN, KEC. PADANG UTARA, KOTA PADANG, SUMATERA BARAT 25173","","PADANG PARIAMAN, SUMATERA BARAT"
"RS IBU DAN ANAK PROF. DR. H. M. FARID","7371414",  25,"(0411) 315872", -4.70678900,119.39979800,"JL. DR. WAHIDIN SUDIRO HUSODO NO.103-107, MELAYU, KEC. WAJO, KOTA MAKASSAR, SULAWESI SELATAN 90172","","KOTA MAKASSAR, SULAWESI SELATAN"
"RS BHAYANGKARA TK. IV TERNATE","8271058",  22,"(0921) 3121792",  0.78290400,127.38437600,"TAKOMA, TERNATE TENGAH, KOTA TERNATE, MALUKU UTARA","","KOTA TERNATE, MALUKU UTARA"
"RS GRIYA HUSADA BAKTI","7471081",   0,"(0404) 3192010", -3.98326800,122.51679700,"JL. SAO SAO NO.248, BENDE, KENDARI, KOTA KENDARI, SULAWESI TENGGARA 93111","","KOTA KENDARI, SULAWESI TENGGARA"
"RS STIKES MATARAM BIMA","5206031",   0,"", -8.47445500,118.73946000,"JL. GATOT SUBROTO, SAMBINAE, MPUNDA, BIMA, NUSA TENGGARA BAR. 84111","","BIMA, NUSA TENGGARA BARAT"
"RS UMUM AYAH BUNDA","1223003",   0,"0823-6077-7871",  2.36725400, 99.73119300,"JL. LINTAS SUMATERA, PULO JANTAN, NA IX-X, KABUPATEN LABUHANBATU UTARA, SUMATERA UTARA 21455","","LABUHANBATU UTARA, SUMATERA UTARA"
"RS UMUM PENAWAR MEDIKA","1808017",  42,"(0726) 7570122", -4.24287800,105.25645800,"BUJUK AGUNG, BANJAR MARGO, KABUPATEN TULANGBAWANG, LAMPUNG 34684","","TULANG BAWANG, LAMPUNG"
"RS UMUM KASIH BUNDA JAYA NANGA PINOH","6110015",  36,"(0568) 22885", -0.33905800,111.74353000,"DS, JL. JUANG NO.KM, TANJUNG NIAGA, NANGA PINOH, MELAWI REGENCY, WEST KALIMANTAN 79672","","MELAWI, KALIMANTAN BARAT"
"RS UMUM BUNGA MELATI","1174019",  93,"(0645) 44821",  5.17535000, 97.14656000,"JL. SAMUDERA BARU NO.3, KEUDE ACEH, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH","","KOTA LHOKSEUMAWE, ACEH"
"RS IBU DAN ANAK ANANDA","7371410",  69,"(0411) 874593", -5.16506200,119.42646200,"JL. ANDI DJEMMA NO.63, BANTA-BANTAENG, KEC. RAPPOCINI, KOTA MAKASSAR, SULAWESI SELATAN 90222","","KOTA MAKASSAR, SULAWESI SELATAN"
"RS IBU DAN ANAK BRAWIJAYA WOMEN AND CHILDREN HOSPITAL","3171724",  35,"(021) 7211337", -6.25756500,106.80769800,"JL..TAMAN BRAWIJAYA NO.1,CEPETE UTARA,JAKSEL","","JAKARTA SELATAN, DKI JAKARTA"
"RS IBU DAN ANAK SRIKANDI IBI JEMBER","3509137",  30,"(0331) 335290", -8.18588800,113.69035600,"JL. KH AGUS SALIM NO.20, TEGAL BESAR KULON, TEGAL BESAR, KEC. KALIWATES, KABUPATEN JEMBER, JAWA TIMUR 68132","","JEMBER, JAWA TIMUR"
"RS ANUGERAH BUNDA KHATULISTIWA","6171124",  81,"(0561) 581818", -0.06120300,109.35542800,"JL. AHMAD YANI PONTIANAK SELATAN","","KOTA PONTIANAK, KALIMANTAN BARAT"
"RS UMUM DANAU SALAK","6303026",  56,"(0511) 4773967", -3.39590000,114.58500000,"JL EMPLASEMEN SELAN RT 005 RW 03 KEC. MATRAMAN","","BANJAR, KALIMANTAN SELATAN"
"RS DOKTER TAKDIR","1207069",  33,"",  2.09106700, 99.82592200,"JL. SIRINGO-RINGO NO. 11 , RANTAU PRAPAT, SUMATERA UTARA  RANTAU PRAPAT","","BATU BARA, SUMATERA UTARA"
"RS IBU DAN ANAK SITTI MASYITHAH","7271084",   0,"(0451) 4016608", -0.69042200,120.43477400,"JL. WR SUPRATMAN NO. 7 PALU","","KOTA PALU, SULAWESI TENGAH"
"RS SAFIRA PASA","1602016",  54,"", -3.84955800,104.89320100,"TUGUMULYO, LEMPUING, OGAN KOMERING ILIR REGENCY, SOUTH SUMATRA 30657","","OGAN KOMERING ILIR, SUMATERA SELATAN"
"RS MEDIKA INSANI","1806039",  38,"0852-7941-0025", -4.89593952,104.54650789,"JL. SUMBER JAYA NO. 667 DESA TANJUNG BARU KECAMATAN BUKIT KEMUNING KABUPATEN LAMPUNG UTARA, LAMPUNG 34766","","LAMPUNG UTARA, LAMPUNG"
"RS BERSALIN AISYIYAH","3526030",  14,"(031) 3095354", -7.02855900,112.75287900,"JL. LETNAN RAMLI NO.21, RW. 02, DEMANGAN, KEC. BANGKALAN, KABUPATEN BANGKALAN, JAWA TIMUR 69115","","BANGKALAN, JAWA TIMUR"
"RS PRATAMA PENDOPO","1611002",  10,"", -3.78845100,102.95927400,"JALAN JATI, TJ. RAMAN, PENDOPO, KABUPATEN EMPAT LAWANG, SUMATERA SELATAN 31593","","EMPAT LAWANG, SUMATERA SELATAN"
"RS UMUM DAERAH GELUMBANG","1603089",   0,"085366788788", -3.19475000,104.42375900,"BITIS, GELUMBANG, MUARA ENIM REGENCY, SOUTH SUMATRA 31171","","MUARA ENIM, SUMATERA SELATAN"
"RS UMUM DAERAH SEMITAU","6108014",   0,"",  0.58688700,111.96342900,"KAPUAS KANAN HULU, SEMITAU, KAPUAS HULU REGENCY, WEST KALIMANTAN 78613","","KAPUAS HULU, KALIMANTAN BARAT"
"RS UMUM DAERAH DR. D. ANATOTOTI","8101064",   0,"85353929201", -7.13828500,131.89979200,"LARAT KEC. TANIMBAR UTARA KAB. MTB","","MALUKU TENGGARA BARAT, MALUKU"
"RS UMUM MITRA PERSADA MEDAN","1275894",   0,"",  3.63558500, 98.67508300,"JL. M.H THAMRIN NO.2, PERINTIS, KEC. MEDAN TIM., KOTA MEDAN, SUMATERA UTARA 20233","","KOTA MEDAN, SUMATERA UTARA"
"RS UMUM MEUTIA","1171145",  27,"(0645) 43236",  5.12216500, 97.15637900,"JL. BANDA ACEH-MEDAN KM.6 LHOUKSEUMAWE ACEH","","KOTA BANDA ACEH, ACEH"
"RS KHUSUS GIGI DAN MULUT LADOKGI TNI AL R.E. MARTA","3173697",   4,"(021) 5733026", -6.21162080,106.80602530,"JL. FARMASI NO.1, RT.4/RW.3, BEND. HILIR, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10210","","JAKARTA PUSAT, DKI JAKARTA"
"RS UMUM MALAHAYATI","1171085",  42,"(0651) 41517",  5.54517000, 95.30840000,"JL. CUT NYAK DHIEN NO. 498 BANDA ACEH","","KOTA BANDA ACEH, ACEH"
"RS UMUM LARAS KABUPATEN SIMALUNGUN","1209021",  97,"0622-64342",  3.13112000, 99.14770000,"JL DESA NAGA JAYA I KEC. BANDAR HULUAN KAB.SIMALUNGUN","","SIMALUNGUN, SUMATERA UTARA"
"RS UMUM ESTER","1211092",  40,"0628-20714",  3.10394000, 98.49440000,"JL VETERAN NO.21,KABANJAHE","","KARO, SUMATERA UTARA"
"RS PRATAMA SEBATIK","6504027",  30,"", -2.41855880,108.49190860,"JL. PADAELO RT. 08 DESA TANJUNG KARANG KECAMATAN SEBATIK","","NUNUKAN, KALIMANTAN UTARA"
"RS BHAYANGKARA MEDAN","1275046",  60,"061 8220812",  3.57234702, 98.65851743,"JL KH WAHID HASYIM NO.1, MEDAN","","KOTA MEDAN, SUMATERA UTARA"
"RS IBU DAN ANAK PURA RAHARJA","3578593",  43,"031 - 501 9898", -2.41855880,108.49190860,"JL. PUCANG ADI NO.12 - 14 SURABAYA","","KOTA SURABAYA, JAWA TIMUR"
"RS GIGI DAN MULUT SARASWATI DENPASAR","5171181",   2,"(0361) 4747890", -8.65310000,115.22500000,"JL. KAMBOJA 11A DENPASAR","","KOTA DENPASAR, BALI"
"RS ISLAM YATOFA","5202022", 121,"(0370) 6503386", -8.69460000,116.27800000,"JL. RAYA BODAK - MANTANG KM. 7 PRAYA LOMBOK TENGAH NUSA TENGGARA BARAT","","LOMBOK TENGAH, NUSA TENGGARA BARAT"
"RS JIWA PUTI BUNGSU","1371251",  40,"(0751) 25619", -0.94588300,100.36767400,"JL. SAWAHAN NO.36, SAWAHAN, KEC. PADANG TIM., KOTA PADANG, SUMATERA BARAT 25171","","KOTA PADANG, SUMATERA BARAT"
"RS UMUM SELAGURI","1371284",  33,"0821-7100-6964", -0.94254600,100.35833000,"JL. JEND. A YANI NO.26, PADANG PASIR, KEC. PADANG BAR., KOTA PADANG, SUMATERA BARAT 25112","","KOTA PADANG, SUMATERA BARAT"
"RS OTIKA MEDIKA","3604052",  32,"0878-7870-8232", -6.20550600,106.13725100,"JL. RAYA SERANG - PANDEGLANG NO.KM.11, BAROS, KEC. BAROS, SERANG, BANTEN 42173","","SERANG, BANTEN"
"RS  BUKIT LEWOLEBA","5308023",  50,"0383-41009", -8.65730000,121.07900000,"JLN TRANS ATADEI KEL.LEWOLEBA BARAT","","LEMBATA, NUSA TENGGARA TIMUR"
"RS NINDHITA","3527013",  63,"", -7.20208800,113.24163800,"JL. SYAMSUL ARIFIN NO.87, RW. IV, POLAGAN, KEC. SAMPANG, KABUPATEN SAMPANG, JAWA TIMUR 69216","","SAMPANG, JAWA TIMUR"
"RS SINGHASARI MEDIKA","3507114",  30,"", -7.89045800,112.65694600,"JL. RAYA KLAMPOK RT 01 RW 01 DESA KLAMPOK KECAMATAN SINGOSARI KABUPATEN MALANG. 65153","","MALANG, JAWA TIMUR"
"RS UMUM SETIA BUNDA","7403126",  21,"082333300600", -3.86487072,122.06439290,"JL. JENDERAL SUDIRMAN KEL. AMBEIKAIRI KEC. UNAAHA KAB. KONAWE, KONAWE, SULAWESI TENGGARA","","KONAWE, SULAWESI TENGGARA"
"RS UMUM KASIH INSANI","1212183",  69,"(021) 89161099",  3.49338500, 98.66698300,"JL. RAYA SUKATANI NO.9, SUKADARMA, KEC. SUKATANI, BEKASI, JAWA BARAT 17530","","DELI SERDANG, SUMATERA UTARA"
"RS ST ELIZABETH LELA","5310023",  58,"0813-5378-2435", -8.65730000,121.07900000,"LELA MAUMERE,KAB.SIKKA","","SIKKA, NUSA TENGGARA TIMUR"
"RS  ST RAFAEL CANCAR","5313026",  60,"0852-3981-0401", -8.65730000,121.07900000,"JL. RUTENG -  LABUAN BAJO- CANCAR RUTENG,KAB.MANGGARAI","","MANGGARAI, NUSA TENGGARA TIMUR"
"RS IBU DAN ANAK HARAPAN BUNDA","5171166",  17,"(0361) 265533", -8.67350000,115.23200000,"JL. TUKAD UNDA NO. 1 DENPASAR","","KOTA DENPASAR, BALI"
"RS TK IV LAHAT","1604020",  62,"(0731) 326195", -3.79234600,103.53518500,"JALAN LINTAS PAGAR ALAM-LAHAT, PASAR BARU, KECAMATAN LAHAT, PS. BARU, KEC. LAHAT, KABUPATEN LAHAT, SUMATERA SELATAN 31461","","LAHAT, SUMATERA SELATAN"
